Sheet,Rows excluding header,Columns,First columns,Suggested supplementary role
ROC-AUC x AI Classes,6,16,Roc-Auc; CNN_Backbones; Detection_and_Localization_Architectures; Feedforward_Neural_Networks; Generative_and_Representation_Learning_Models; Graph_Neural_Networks; Instance_Based_and_Probabilistic_Classical_Models; Linear_and_Regularized_Models,Metric reporting and reported performance
Meta_cancer_detected_in,4,2,cancer_detected_in; Count,Audit metadata frequency table
Meta_ai_detected_in,8,2,ai_detected_in; Count,Audit metadata frequency table
Meta_composite_source,20,2,composite_source; Count,Metric reporting and reported performance
Meta_all_tasks,184,2,all_tasks; Count,"Task, cancer, and AI cross-tabulation"
Tasks by Year,7,9,Publication Year; classification; segmentation; prognosis; synthesis; integration; nlp; genomic,"Task, cancer, and AI cross-tabulation"
Cancer Types by Year Dynamics,36,9,Publication Year; 2019; 2020; 2021; 2022; 2023; 2024; 2025,Cancer-site temporal dynamics
AI Models by Year,7,48,Publication Year; Logistic_Regression; Penalized_Regression; SVM; SVR; Decision_Trees; Random_Forests; Gradient_Boosting_Trees,AI model/class temporal dynamics
AI Classes by Year,7,16,Publication Year; CNN_Backbones; Detection_and_Localization_Architectures; Feedforward_Neural_Networks; Generative_and_Representation_Learning_Models; Graph_Neural_Networks; Instance_Based_and_Probabilistic_Classical_Models; Linear_and_Regularized_Models,AI model/class temporal dynamics
Accuracy x Cancer,6,37,Accuracy; Anal cancer; Hepato-biliary cancers; Bladder cancer; Bone cancers; Brain/CNS cancer; Breast cancer; Cervical cancer,Metric reporting and reported performance
Accuracy x AI,6,48,Accuracy; Logistic_Regression; Penalized_Regression; SVM; SVR; Decision_Trees; Random_Forests; Gradient_Boosting_Trees,Metric reporting and reported performance
Accuracy x AI Classes,6,16,Accuracy; CNN_Backbones; Detection_and_Localization_Architectures; Feedforward_Neural_Networks; Generative_and_Representation_Learning_Models; Graph_Neural_Networks; Instance_Based_and_Probabilistic_Classical_Models; Linear_and_Regularized_Models,Metric reporting and reported performance
Top-10 Cancers by Year,7,11,Publication Year; Breast cancer; Brain/CNS cancer; Lung Cancer; Colorectal cancer; Hepato-biliary cancers; Prostate cancer; Head and neck cancer,Cancer-site temporal dynamics
Top-10 AI Models by Year,7,11,Publication Year; Random_Forests; SVM; Gradient_Boosting_Trees; Logistic_Regression; ResNet_Family; Penalized_Regression; U_Net_Family,AI model/class temporal dynamics
Top-10 AI Classes by Year,7,11,Publication Year; Tree_Based_and_Boosting_Ensembles; Linear_and_Regularized_Models; CNN_Backbones; Support_Vector_Methods; U_Net_and_Encoder_Decoder_Segmentation_Architectures; Survival_Specific_Models; Feedforward_Neural_Networks,AI model/class temporal dynamics
