term
adenoma
adenomas
polyp
polyps
dysplasia
premalignant
premalignant lesion
premalignant lesions
precancerous
precancerous lesion
precancerous lesions
barrett esophagus
barrett's esophagus
barrett oesophagus
barrett's oesophagus
cervical lesion
cervical lesions
nodule
nodules
lesion
lesions
neoplasia
screen-detected lesion
atypia
intraepithelial neoplasia
primary bone tumor
pelvic and sacral tumors
posterior fossa tumors
endometrioid
neck tumor
penile intraepithelial neoplasia
keratoacanthoma
vulvar intraepithelial neoplasia
pnet
vaginal intraepithelial neoplasia
submucosal tumors
tumors of both jaws
giant cell tumor of bone
actinic keratosis
adnexal lesion
adnexal mass
adnexal masses
adnexal tumor
adnexal tumors
adrenal medullary tumor
adrenal medullary tumors
advanced adenoma
anal hsil
anal intraepithelial neoplasia
anal margin neoplasm
anal margin neoplasm/neoplasms
anterior fossa tumors
anterior mediastinal mass
atrophic gastritis
atypical parathyroid adenoma
atypical parathyroid adenomas
barrett dysplasia
barrett esophagus dysplasia
barrett’s esophagus
barrett's esophagus dysplasia
barrett’s esophagus dysplasia
barrett's neoplasia
barretts esophagus
barretts neoplasia
bladder lesion
bladder mass
bone lesion
bone mass
bowen disease of the penis
breast calcification
breast lesion
breast masses
buschke-lowenstein tumor
bethesda category
bethesda system
biopsy of the cervix
biopsy of the vagina
biopsy of the vulva
bone marrow aspiration
bone marrow biopsy
bone marrow transplant
bone marrow transplantation
bosniak classification
bosniak cyst
boundary of tumor and liver
brachytherapy of the prostate
braf v600e
brain image
brain images
brain mri
brain on mri
brain tissue
breast biopsies
breast biopsy
breast density
breast lumpectomy
breast lymph nodes
breast magnetic resonance imaging
breast mr images
breast mris
breast pathological images
breast specimen
breast ultrasound
breast-conserving surgery
ca 19-9
ca-125
ca125
calretinin
carcinoma in situ of the penis
cervical dysplasia
cervical intraepithelial neoplasia
cervical squamous intraepithelial lesion
chondroma
clavicular tumor
cns lesion
colon lesion
colon polyp
colorectal polyp
colorectal neoplastic
craniopharyngioma
cystic renal lesions
dcis
desmoid tumor
desmoid tumors
differentiated vin
ductal carcinoma in situ
ductal carcinomas in situ
enchondroma
endometrial hyperplasia
endometrial intraepithelial neoplasia
erythroplasia of queyrat
familial adenomatous polyposis
fibrous dysplasia of bone
follicular thyroid adenoma
gb polyps
giant cell fibroblastoma
giant cell fibroblastomas
giant cell tumors of bone
glans penis tumor
hand tumors
hepatic adenoma
high-grade dysplasia of barrett esophagus
high-grade pin
high-grade prostatic intraepithelial neoplasia
high-grade squamous intraepithelial lesion
high-grade squamous intraepithelial lesion of the anus
high-grade vulvar intraepithelial neoplasia
humeral bone tumor
igcnu
iliac bone tumor
intestinal metaplasia (gastric)
intracranial lesion
intraductal papillary mucinous neoplasm
intraductal papillary mucinous neoplasms
intratubular germ cell neoplasia
intratubular germ cell neoplasia unclassified
ischial bone tumor
jaw tumor syndrome
lcis
lentigo maligna
low-grade dysplasia of barrett esophagus
low-grade pin
low-grade squamous intraepithelial lesion
low-grade vulvar intraepithelial neoplasia
lobular carcinoma in situ
lobular carcinomas in situ
lung nodule
mediastinal mass
mediastinal masses
mediastinal neurogenic tumor
mediastinal neurogenic tumors
mediastinal teratoma
mediastinal teratomas
melanocytic nevus
melanoma in situ
middle mediastinal mass
mucinous cystic neoplasm of the pancreas
mucinous cystic neoplasms of the pancreas
multi-tumor
neck tumors
neoplastic hemorrhage
neurilemmoma of the mediastinum
neurilemmomas of the mediastinum
neurofibroma of the mediastinum
neurofibromas of the mediastinum
occult primary lesion
occult primary lesions
osseous lesion
paget disease of the vulva
pubic bone tumor
pulmonary nodule
pulmonary nodules
rectal lesion
renal oncocytoma
rib bone tumor
sacral tumor
scapular tumor
schwannoma
schwannoma of the mediastinum
schwannomas
schwannomas of the mediastinum
sellar mass
skeletal lesion
small renal mass
solitary fibrous tumor
spinal bone tumor
spinal lesion
sternal tumor
teratoma of the mediastinum
testicular intraepithelial neoplasia
testicular mass
testicular masses
testicular teratoma
testicular teratomas
thymic mass
thyroid adenoma
thyroid nodule
thyroid nodules
tibial bone tumor
unknown primary lesion
unknown primary lesions
unknown primary neoplasm
unknown primary neoplasms
vertebral tumor
vaginal intraepithelial neoplasias
vulvar hsil
vulvar intraepithelial neoplasias
colonoscopy
colonoscopic biopsy
colonoscopic
fobt
fecal immunochemical test
ct colonography
virtual colonoscopy
cea
rectal swab
caco-2
ht29
hct116
sw480
dfsp
t47d
ebus
ttnb
tblb
achn
tcga
a498
rcc4
mcrc
dmmr
