term
linear regression
linear-regression
ordinary least squares
ols model
multivariate linear model
multiple linear regression
simple linear regression
gaussian linear model
general linear model
glm (linear)
linear lm
logistic regression
logistic-regression
binomial regression
binary logistic model
logit model
logit regression
multinomial logistic
multinomial logit
ordinal logistic regression
ordinal logit
probit regression
bayesian logistic regression
regularised logistic
lasso logistic
ridge logistic
elastic-net logistic
firth logistic
penalised logistic
sparse logistic regression
linear logistic regression
lasso regression
lasso algorithm
least absolute shrinkage and selection operator
ridge regression
elastic net regression
elastic-net
glmnet
penalised regression
penalized regression
penalized logistic regression
regularized logistic regression
regularized regression
ridge logistic regression
elastic net logistic
logistic lasso
logistic ridge
regression model
statistical model
classical survival models
cox proportional hazards
cox proportional hazards model
cox model
cox regression
coxph
cox-ph
coxphfit
proportional hazards model
proportional hazards
proportional hazards regression
ph model
cox hazard model
cox ph
cox ph model
cox ph regression
kaplan-meier
kaplan meier
nelson-aalen
weibull survival model
exponential survival model
log-logistic survival
parametric survival model
parametric survival regression
piecewise exponential model
flexible parametric survival
flexible parametric survival model
fpsm
aft survival model
accelerated failure time model
accelerated failure time
accelerated failure time models
aft model
aft models
weibull aft model
weibull regression
log-normal aft model
log-logistic aft model
weibull survival
log logistic model
log logistic survival
log normal survival model
log-normal survival model
restricted cubic spline survival model
royston parmar model
royston-parmar model
fine-gray regression
fine-gray model
fine gray model
fg model
subdistribution hazards model
competing risks regression
cause specific hazards model
cause-specific hazards model
cumulative incidence model
risk model
risk score
prediction rule
clinical prediction tool
shrinkage
backward elimination
forward selection
poisson regression
quasi-poisson glm
negative binomial regression
