term
decision trees
random forests
support vector machines
svm
convolutional neural networks
cnn
recurrent neural networks
lstm
generative adversarial networks
gans
artificial neural networks
u-net models
gradient boosting models
wasserstein gan
variational autoencoder
3d u-net
gradient-boosted decision trees
llm
multilevel-graph neural network
tumor dynamic neural-ode
natural language processing
residual u-net
gbdt
kernel svm
denoising autoencoder
attention u-net
ensemble machine learning
efficientnet
sparse autoencoder
u-net++
random forest
mobilenet
contractive autoencoder
shufflenet
vggnet
gated recurrent unit
conditional gan
named entity recognition
encoder-decoder architecture
bi-directional lstm
progressive gan
catboost
feature pyramid networks
ai model
pgan
sequence-to-sequence models
cyclegan
unet
stylegan
weakly supervised unet
gradient boosting
gradient boosting machine
gbm
unsupervised learning
gradient boosting trees
ensemble learning
tensorflow
fused weighted deep extreme learning
adaboost
adaptive boosting
xgboost
extreme gradient boosting
categorical boosting
gan
cox neural network
artificial neural network
feedforward neural network
multilayer perceptron
deep learning network
support vector machine
support-vector machine
svm-based classifier
svm model
svm-based model
svc
support vector classifier
svr
support vector regressor
support-vector regressor
linear svm
polynomial svm
poly-kernel svm
rbf svm
gaussian svm
radial basis function svm
sigmoid svm
nu-svm
one-class svm
oc-svm
least-squares svm
ls-svm
probabilistic svm
psvm
structured svm
multiclass svm
multi-class svm
weighted svm
cost-sensitive svm
string-kernel svm
spectrum kernel svm
tree-kernel svm
decision-tree
regression tree
classification and regression tree
c4.5
c4.5 decision tree
c5.0
chaid
exhaustive chaid
oblique decision tree
soft decision tree
conditional inference tree
ctree
model tree
m5 model tree
binary decision tree
multivariate decision tree
rule-based tree
quest tree
fast and frugal tree
rotation tree
random-forest
rf classifier
rf model
rf regressor
breiman forest
random decision forest
bagged trees
bagging forest
extra trees
extremely randomised trees
extratrees
oblique random forest
rotation forest
quantile forest
survival random forest
random survival forest
conditional inference forest
cforest
balanced random forest
gradient-boosting
gradient boosted trees
gradient boosted decision tree
gbrt
boosted regression tree
stochastic gradient boosting
xgb
xgboost classifier
xgboost regressor
lightgbm
lgbm
light gradient boosting machine
histogram-based gbdt
dart gbdt
goss gbdt
dart booster
goss booster
boosted survival tree
convolutional neural network
convolutional-neural-network
convolutional net
convnet
deep cnn
conv neural network
conv-net
1d cnn
1-d cnn
2d cnn
3d cnn
multi-channel cnn
multiscale cnn
patch-based cnn
slice-level cnn
alexnet
vgg16
vgg19
googlenet
inception v1
inception-v3
inception-v4
inception-resnet
xception
resnet
resnet18
resnet34
resnet50
resnet101
resnet152
resnext
resnext50
resnext101
wide-resnet
seresnet
senet
squeeze and excitation network
densenet
densenet121
densenet169
densenet201
efficientnet-b0
efficientnet-b7
efficientnet-v2
mobilenetv2
mobilenetv3
shufflenet-v2
squeezenet
nasnet
nasnet-large
nasnet-mobile
regnet
regnet-y
regnet-x
convnext
conv-next
hrnet
high-resolution net
ghostnet
sknet
yolo
yolov3
yolov4
yolov5
yolov6
yolov7
yolov8
single shot multibox detector
retinanet
faster r-cnn
mask r-cnn
cascade r-cnn
r-cnn
rcnn
region cnn
frcnn
mrcnn
cornernet
centernet
efficientdet
detr
deformable detr
hourglass net
deeplab
deep-labv3
deeplabv3+
fully convolutional network
segnet
pspnet
gcn-cnn
context encoding net
ocrnet
spiking cnn
temporal cnn
atrous cnn
cnns
u net
uвђђnet
unet++
nested unet
nested u-net
u2-net
u2net
res-unet
res u-net
residual unet
recurrent u-net
rcu-net
rcunet
att-unet
att unet
dense-unet
dense u-net
d-unet
multi-res unet
mru-net
mru net
v-net
vnet
3d unet
3-d unet
3d-u-net
w-net
wnet
double u-net
du-net
dual u-net
y-net
ynet
linknet
link-net
ma-net
manet
inf-net
infnet
u-net-gan
unetgan
r2u-net
r2unet
uception
u-ception
unet3+
unet 3+
coplenet
gated-scnn (unet)
vision transformer
vit-base
vit-large
vit-b
vit-l
mobilevit
t2t-vit
